"";"kandidatnr";"valtyp";"länsnr";"län";"kommunnr";"kommun";"valkretsnr";"valkrets";"parti";"tillträdesdatum";"invalsordning";"personvald";"förnamn";"efternamn";"ålder";"kön";"lista";"listplats";"Parti";"Efternamn";"Förnamn";"Kön";"Ålder.valdagen";"V1";"namn"
"1";76100;"R";NA;NA;NA;NA;11;"Malmö kommun";"S";NA;1;NA;"Marie";"Granlund";48;"K";"0002-00656";1;"S";"Granlund";"Marie";"K";48;3100;"Marie Granlund"
"2";60766;"R";NA;NA;NA;NA;24;"Dalarnas län";"M";NA;1;NA;"Ulf";"Berg";53;"M";"0001-00183";1;"M";"Berg";"Ulf";"M";53;1959;"Ulf Berg"
"3";91647;"R";NA;NA;NA;NA;19;"Västra Götalands läns södra";"M";NA;2;NA;"Cecilie";"Tenfjord-Toftby";40;"K";"0001-00423";2;"M";"Tenfjord-Toftby";"Cecilie";"K";40;1684;"Cecilie Tenfjord-Toftby"
"4";44572;"R";NA;NA;NA;NA;5;"Östergötlands län";"C";NA;1;"personvald";"Staffan";"Danielsson";63;"M";"0004-00469";1;"C";"Danielsson";"Staffan";"M";63;1660;"Staffan Danielsson"
"5";118991;"R";NA;NA;NA;NA;26;"Västernorrlands län";"S";NA;2;NA;"Jasenko";"Omanovic";43;"M";"0002-00194";2;"S";"Omanovic";"Jasenko";"M";43;1428;"Jasenko Omanovic"
"6";76102;"R";NA;NA;NA;NA;11;"Malmö kommun";"S";NA;3;NA;"Hillevi";"Larsson";36;"K";"0002-00656";3;"S";"Larsson";"Hillevi";"K";36;1239;"Hillevi Larsson"
"7";95707;"R";NA;NA;NA;NA;25;"Gävleborgs län";"S";NA;4;NA;"Elin";"Lundgren";32;"K";"0002-00048";4;"S";"Lundgren";"Elin";"K";32;1063;"Elin Lundgren"
"8";91645;"R";NA;NA;NA;NA;19;"Västra Götalands läns södra";"M";NA;3;NA;"Ulrik";"Nilsson";47;"M";"0001-00423";3;"M";"Nilsson";"Ulrik";"M";47;966;"Ulrik Nilsson"
"9";88542;"R";NA;NA;NA;NA;25;"Gävleborgs län";"S";NA;3;NA;"Per";"Svedberg";44;"M";"0002-00048";3;"S";"Svedberg";"Per";"M";44;887;"Per Svedberg"
"10";76101;"R";NA;NA;NA;NA;11;"Malmö kommun";"S";NA;2;NA;"Leif";"Jakobsson";55;"M";"0002-00656";2;"S";"Jakobsson";"Leif";"M";55;858;"Leif Jakobsson"
